Image File,Prediction (grid_based),Prediction (object_detection),Prediction (lime_on_image),Prediction (lime_on_latent),Prediction (lime_on_latent_nun)
town7_003102.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003105.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003114.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003118.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003122.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003137.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003146.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003162.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003163.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003181.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003215.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003216.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003222.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003223.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003227.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003315.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003320.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003323.png,RIGHT,GO,GO,GO,GO
town7_003334.png,GO,RIGHT,RIGHT,RIGHT,GO
town7_003339.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003340.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003344.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003349.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003352.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003356.png,RIGHT,RIGHT,RIGHT,GO,GO
town7_003361.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003362.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003371.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003372.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003376.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003378.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003379.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003381.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003402.png,LEFT,GO,GO,LEFT,GO
town7_003419.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003424.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003426.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003470.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003481.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003546.png,GO,RIGHT,RIGHT,RIGHT,GO
town7_003553.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003556.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003590.png,RIGHT,RIGHT,LEFT,LEFT,GO
town7_003599.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003605.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003608.png,LEFT,GO,LEFT,LEFT,GO
town7_003609.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003612.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003616.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003634.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003637.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003638.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003639.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003642.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003656.png,STOP,STOP,STOP,LEFT,STOP
town7_003658.png,STOP,STOP,LEFT,STOP,STOP
town7_003660.png,STOP,LEFT,STOP,LEFT,STOP
town7_003666.png,LEFT,LEFT,LEFT,LEFT,STOP
town7_003668.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003670.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003678.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003684.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003687.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003710.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003719.png,GO,GO,GO,GO,STOP
town7_003727.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003737.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003765.png,GO,GO,GO,GO,STOP
town7_003766.png,GO,GO,GO,GO,STOP
town7_003783.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003798.png,GO,RIGHT,GO,GO,GO
town7_003825.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003831.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003832.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003906.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003910.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003912.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003931.png,GO,GO,GO,GO,STOP
town7_003961.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003964.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003965.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003967.png,LEFT,LEFT,LEFT,LEFT,GO
town7_003986.png,GO,GO,GO,GO,STOP
town7_003989.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_003996.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_004013.png,RIGHT,GO,RIGHT,GO,GO
town7_004014.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_004015.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_004022.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_004128.png,GO,GO,STOP,GO,GO
town7_004168.png,GO,GO,GO,GO,STOP
town7_004173.png,STOP,STOP,STOP,STOP,GO
town7_004211.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004218.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004287.png,STOP,GO,GO,GO,GO
town7_004336.png,GO,GO,GO,GO,STOP
town7_004483.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_004490.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004493.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004498.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004499.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004503.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004509.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004510.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004517.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004521.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004522.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004524.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004696.png,GO,LEFT,LEFT,LEFT,GO
town7_004718.png,RIGHT,GO,GO,GO,GO
town7_004721.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_004747.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004750.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004754.png,LEFT,GO,LEFT,LEFT,GO
town7_004759.png,RIGHT,GO,GO,GO,GO
town7_004805.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004807.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004974.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004976.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004979.png,LEFT,LEFT,LEFT,LEFT,GO
town7_004983.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005026.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005032.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005078.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005079.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005081.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005083.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005118.png,RIGHT,GO,GO,GO,STOP
town7_005122.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005124.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005126.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005152.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005159.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005168.png,GO,GO,RIGHT,RIGHT,GO
town7_005183.png,LEFT,GO,GO,GO,GO
town7_005207.png,GO,GO,GO,GO,STOP
town7_005212.png,GO,GO,GO,GO,STOP
town7_005235.png,STOP,STOP,STOP,STOP,GO
town7_005236.png,STOP,STOP,STOP,STOP,GO
town7_005237.png,STOP,STOP,STOP,STOP,GO
town7_005243.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005244.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005245.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005246.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005313.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005367.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005369.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005380.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005382.png,GO,GO,RIGHT,GO,GO
town7_005411.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005415.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005428.png,GO,GO,RIGHT,RIGHT,GO
town7_005429.png,GO,RIGHT,GO,GO,STOP
town7_005435.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005437.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005449.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005453.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005455.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005456.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005460.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005508.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005588.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005593.png,LEFT,LEFT,LEFT,LEFT,GO
town7_005650.png,STOP,GO,STOP,GO,GO
town7_005661.png,LEFT,RIGHT,LEFT,RIGHT,GO
town7_005693.png,RIGHT,RIGHT,GO,GO,GO
town7_005811.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005812.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005850.png,STOP,STOP,STOP,STOP,GO
town7_005867.png,STOP,STOP,STOP,STOP,GO
town7_005870.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005875.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005877.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005880.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005952.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_005955.png,RIGHT,RIGHT,GO,RIGHT,GO
town7_005995.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006017.png,RIGHT,RIGHT,RIGHT,GO,GO
town7_006030.png,GO,GO,RIGHT,GO,GO
town7_006042.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006049.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006055.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006057.png,GO,LEFT,GO,GO,GO
town7_006058.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006059.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006060.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006072.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006084.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006086.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006096.png,GO,STOP,STOP,STOP,STOP
town7_006136.png,STOP,GO,STOP,GO,STOP
town7_006150.png,GO,RIGHT,RIGHT,RIGHT,GO
town7_006152.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006163.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006168.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006178.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006181.png,GO,LEFT,LEFT,LEFT,GO
town7_006184.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006203.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006215.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006218.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006245.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006247.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006256.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006258.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006263.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006265.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006270.png,GO,GO,GO,GO,STOP
town7_006279.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006281.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006286.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006287.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006293.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006296.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006299.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006300.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006305.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006312.png,STOP,STOP,STOP,STOP,GO
town7_006315.png,RIGHT,RIGHT,STOP,RIGHT,GO
town7_006316.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006327.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006333.png,GO,RIGHT,RIGHT,RIGHT,GO
town7_006390.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006392.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006401.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006537.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006538.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006539.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006545.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006548.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006558.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006586.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006592.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006619.png,GO,RIGHT,RIGHT,RIGHT,GO
town7_006622.png,RIGHT,GO,RIGHT,RIGHT,GO
town7_006706.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006711.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006830.png,STOP,STOP,STOP,GO,STOP
town7_006833.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006834.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006842.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006847.png,GO,LEFT,GO,GO,GO
town7_006891.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006892.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006893.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006895.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006960.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006962.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006965.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_006973.png,LEFT,LEFT,LEFT,LEFT,GO
town7_006983.png,GO,GO,RIGHT,GO,GO
town7_007016.png,RIGHT,RIGHT,GO,RIGHT,GO
town7_007021.png,LEFT,RIGHT,RIGHT,RIGHT,GO
town7_007022.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_007024.png,GO,GO,GO,GO,STOP
town7_007068.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007070.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007127.png,RIGHT,GO,GO,RIGHT,GO
town7_007129.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_007131.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_007132.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_007162.png,GO,GO,GO,GO,STOP
town7_007189.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_007198.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_007241.png,GO,GO,GO,GO,STOP
town7_007467.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007487.png,STOP,GO,GO,STOP,GO
town7_007488.png,STOP,STOP,STOP,STOP,GO
town7_007506.png,RIGHT,RIGHT,RIGHT,STOP,GO
town7_007507.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_007508.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_007570.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007573.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007574.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007599.png,LEFT,GO,GO,LEFT,GO
town7_007600.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007608.png,LEFT,LEFT,GO,LEFT,GO
town7_007737.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007742.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007756.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007759.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007868.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007878.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_007880.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_007882.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007883.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007885.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007891.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007902.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007907.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007909.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007913.png,LEFT,LEFT,LEFT,LEFT,GO
town7_007915.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008013.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008018.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008019.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008025.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008026.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008027.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008028.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008032.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008033.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008035.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008037.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008067.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008089.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008122.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008126.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008128.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008287.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008292.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008293.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008294.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008300.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008301.png,LEFT,LEFT,LEFT,LEFT,GO
town7_008346.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008349.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008352.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008355.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008480.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_008559.png,GO,GO,GO,GO,STOP
town7_008583.png,GO,GO,GO,GO,STOP
town7_008617.png,GO,GO,GO,GO,STOP
town7_008641.png,STOP,GO,GO,GO,STOP
town7_008704.png,LEFT,LEFT,LEFT,LEFT,GO
