Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Features Replaced,Feature Selection (%),SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000128.png,STOP,"[0.65539, 0.34461]",GO,"[0.45386, 0.54614]",True,15.0,11.72%,0.72117,127.67557,27.06973,0.98274,0.30563,6.80342
town7_000129.png,STOP,"[0.63799, 0.36201]",GO,"[0.47159, 0.52841]",True,1.0,0.78%,0.72013,127.53688,27.07445,0.98287,0.31031,7.79244
town7_000130.png,STOP,"[0.52137, 0.47863]",GO,"[0.46258, 0.53742]",True,2.0,1.56%,0.71588,130.96258,26.95933,0.98167,0.30598,6.84493
town7_000139.png,STOP,"[0.60255, 0.39745]",GO,"[0.49027, 0.50973]",True,3.0,2.34%,0.72753,124.85948,27.16659,0.98338,0.31291,6.81909
town7_000140.png,STOP,"[0.6791, 0.3209]",GO,"[0.48285, 0.51715]",True,2.0,1.56%,0.72552,125.83219,27.13289,0.98329,0.30323,7.52296
town7_000141.png,STOP,"[0.50023, 0.49977]",GO,"[0.42561, 0.57439]",True,1.0,0.78%,0.7383,108.28406,27.78516,0.98261,0.30585,7.93181
town7_000144.png,GO,"[0.48886, 0.51114]",STOP,"[0.51781, 0.48219]",True,5.0,3.91%,0.73364,107.8932,27.80086,0.97845,0.29943,6.34743
town7_000146.png,GO,"[0.32876, 0.67124]",STOP,"[0.51978, 0.48022]",True,89.0,69.53%,0.70967,185.0706,25.45743,0.96843,0.28616,5.63348
town7_000154.png,GO,"[0.32729, 0.67271]",STOP,"[0.51237, 0.48763]",True,113.0,88.28%,0.70473,216.45573,24.77711,0.96803,0.27519,6.61254
town7_000156.png,GO,"[0.27639, 0.72361]",STOP,"[0.53423, 0.46577]",True,106.0,82.81%,0.68583,206.74547,24.97644,0.97395,0.25055,6.63644
town7_000174.png,GO,"[0.31757, 0.68243]",STOP,"[0.50516, 0.49484]",True,60.0,46.88%,0.72978,233.38529,24.45007,0.97704,0.21972,7.91963
town7_000179.png,GO,"[0.3015, 0.6985]",GO,"[0.40887, 0.59113]",False,128.0,100.00%,,,,,,8.28528
town7_000183.png,GO,"[0.32696, 0.67304]",STOP,"[0.51156, 0.48844]",True,115.0,89.84%,0.68603,442.1943,21.67467,0.96324,0.20928,8.97517
town7_000189.png,GO,"[0.32626, 0.67374]",STOP,"[0.50824, 0.49176]",True,56.0,43.75%,0.76664,227.57354,24.55959,0.97988,0.28611,7.22608
town7_000190.png,GO,"[0.2901, 0.7099]",STOP,"[0.55891, 0.44109]",True,117.0,91.41%,0.70726,370.7862,22.43957,0.97237,0.22656,7.15968
town7_000191.png,GO,"[0.27528, 0.72472]",STOP,"[0.59961, 0.40039]",True,128.0,100.00%,0.692,414.38974,21.95671,0.96994,0.21063,6.30727
town7_000204.png,GO,"[0.34843, 0.65157]",STOP,"[0.51652, 0.48348]",True,114.0,89.06%,0.77408,250.20133,24.14791,0.97744,0.29169,5.70273
town7_000205.png,GO,"[0.34708, 0.65292]",STOP,"[0.52245, 0.47755]",True,30.0,23.44%,0.80199,98.50534,28.19621,0.99266,0.31861,5.29642
town7_000215.png,GO,"[0.25167, 0.74833]",STOP,"[0.53134, 0.46866]",True,77.0,60.16%,0.70473,161.30685,26.05428,0.98876,0.24204,6.20447
town7_000216.png,GO,"[0.22662, 0.77338]",STOP,"[0.58983, 0.41017]",True,98.0,76.56%,0.66042,274.58125,23.74409,0.97976,0.1976,6.25079
town7_000218.png,GO,"[0.20475, 0.79525]",STOP,"[0.54287, 0.45713]",True,58.0,45.31%,0.7263,205.57794,25.00104,0.98348,0.23409,5.71982
town7_000229.png,GO,"[0.31188, 0.68812]",STOP,"[0.56694, 0.43306]",True,82.0,64.06%,0.68435,408.60148,22.0178,0.96027,0.19478,5.68147
town7_000238.png,GO,"[0.34456, 0.65544]",STOP,"[0.52546, 0.47454]",True,82.0,64.06%,0.74203,297.38964,23.39755,0.95756,0.24858,6.51994
town7_000242.png,GO,"[0.3306, 0.6694]",STOP,"[0.52763, 0.47237]",True,3.0,2.34%,0.81813,85.64677,28.80369,0.99407,0.34926,5.65907
town7_000246.png,GO,"[0.33916, 0.66084]",STOP,"[0.56483, 0.43517]",True,61.0,47.66%,0.75921,197.1457,25.18293,0.98563,0.25359,6.05643
town7_000252.png,STOP,"[0.6242, 0.3758]",GO,"[0.49065, 0.50935]",True,8.0,6.25%,0.80076,105.0307,27.91764,0.99374,0.31525,5.83692
town7_000260.png,STOP,"[0.83713, 0.16287]",GO,"[0.49374, 0.50626]",True,26.0,20.31%,0.79104,197.95544,25.16513,0.9913,0.31589,5.36646
town7_000261.png,STOP,"[0.8396, 0.1604]",GO,"[0.48181, 0.51819]",True,6.0,4.69%,0.79803,171.56177,25.7866,0.99271,0.33065,5.91537
town7_000262.png,STOP,"[0.78945, 0.21055]",GO,"[0.41079, 0.58921]",True,4.0,3.12%,0.79531,173.41299,25.73999,0.99254,0.32682,6.44253
town7_000263.png,STOP,"[0.82362, 0.17638]",GO,"[0.45517, 0.54483]",True,4.0,3.12%,0.79588,172.44049,25.76441,0.99274,0.33434,6.81216
town7_000265.png,STOP,"[0.80542, 0.19458]",GO,"[0.49767, 0.50233]",True,6.0,4.69%,0.79271,179.20312,25.59735,0.99231,0.32688,7.16458
town7_000269.png,STOP,"[0.81525, 0.18475]",GO,"[0.36636, 0.63364]",True,8.0,6.25%,0.78992,180.79339,25.55898,0.9923,0.32275,6.33561
town7_000273.png,STOP,"[0.69747, 0.30253]",GO,"[0.39618, 0.60382]",True,1.0,0.78%,0.79064,190.45117,25.33297,0.99163,0.32128,6.10307
town7_000289.png,GO,"[0.30874, 0.69126]",STOP,"[0.53586, 0.46414]",True,109.0,85.16%,0.66764,478.36781,21.33318,0.97928,0.17471,5.86164
town7_000290.png,GO,"[0.32652, 0.67348]",STOP,"[0.5517, 0.4483]",True,70.0,54.69%,0.74087,202.1507,25.07405,0.99209,0.25257,6.26196
town7_000296.png,GO,"[0.30161, 0.69839]",STOP,"[0.53796, 0.46204]",True,77.0,60.16%,0.79093,257.66438,24.02026,0.98439,0.29638,6.72157
town7_000302.png,GO,"[0.32, 0.68]",STOP,"[0.51274, 0.48726]",True,51.0,39.84%,0.80103,130.16698,26.9858,0.99451,0.30907,6.22196
town7_000309.png,GO,"[0.29571, 0.70429]",STOP,"[0.53172, 0.46828]",True,63.0,49.22%,0.79622,183.77766,25.48788,0.9921,0.30518,6.34594
town7_000312.png,GO,"[0.33178, 0.66822]",GO,"[0.48435, 0.51565]",False,128.0,100.00%,,,,,,6.71081
town7_000314.png,GO,"[0.30761, 0.69239]",STOP,"[0.51485, 0.48515]",True,80.0,62.50%,0.7987,193.08169,25.27339,0.99148,0.319,7.45434
town7_000315.png,GO,"[0.30089, 0.69911]",STOP,"[0.525, 0.475]",True,73.0,57.03%,0.8186,159.79643,26.09513,0.99289,0.33203,6.91951
town7_000319.png,GO,"[0.30455, 0.69545]",STOP,"[0.50256, 0.49744]",True,66.0,51.56%,0.80991,155.14474,26.22343,0.99339,0.3342,7.1081
town7_000324.png,GO,"[0.30881, 0.69119]",STOP,"[0.60882, 0.39118]",True,93.0,72.66%,0.80694,175.98997,25.67592,0.99145,0.31449,7.13064
town7_000327.png,GO,"[0.30833, 0.69167]",STOP,"[0.59359, 0.40641]",True,74.0,57.81%,0.81386,123.06602,27.22942,0.99532,0.35228,7.04177
town7_000335.png,STOP,"[0.764, 0.236]",GO,"[0.4719, 0.5281]",True,23.0,17.97%,0.82085,105.95852,27.87944,0.99647,0.34731,7.44729
town7_000337.png,STOP,"[0.97754, 0.02246]",GO,"[0.47153, 0.52847]",True,75.0,58.59%,0.82323,153.67641,26.26473,0.99396,0.31766,7.0125
town7_000343.png,STOP,"[0.97386, 0.02614]",GO,"[0.40129, 0.59871]",True,66.0,51.56%,0.80625,139.29951,26.69131,0.99485,0.32458,6.71832
town7_000345.png,STOP,"[0.96195, 0.03805]",GO,"[0.47975, 0.52025]",True,70.0,54.69%,0.80778,141.1401,26.6343,0.9948,0.3293,6.47215
town7_000346.png,STOP,"[0.96678, 0.03322]",GO,"[0.47539, 0.52461]",True,105.0,82.03%,0.77704,192.87792,25.27798,0.99241,0.28503,6.36448
town7_000361.png,STOP,"[0.97629, 0.02371]",GO,"[0.49214, 0.50786]",True,111.0,86.72%,0.76719,227.66812,24.55778,0.99143,0.27025,6.15575
town7_000375.png,STOP,"[0.96816, 0.03184]",GO,"[0.41937, 0.58063]",True,70.0,54.69%,0.80357,146.57156,26.47031,0.99451,0.32188,6.50099
town7_000376.png,STOP,"[0.97198, 0.02802]",GO,"[0.46629, 0.53371]",True,54.0,42.19%,0.81679,127.53375,27.07455,0.99535,0.34466,5.7891
town7_000377.png,STOP,"[0.97589, 0.02411]",GO,"[0.48501, 0.51499]",True,69.0,53.91%,0.79047,172.30534,25.76782,0.99347,0.30442,5.82874
town7_000383.png,STOP,"[0.97146, 0.02854]",GO,"[0.46107, 0.53893]",True,80.0,62.50%,0.793,157.60721,26.15504,0.99408,0.3013,5.78289
town7_000386.png,STOP,"[0.97356, 0.02644]",GO,"[0.49539, 0.50461]",True,59.0,46.09%,0.80881,139.11479,26.69707,0.99503,0.3291,4.71423
town7_000392.png,STOP,"[0.97557, 0.02443]",GO,"[0.47654, 0.52346]",True,56.0,43.75%,0.81021,128.2088,27.05163,0.99546,0.33834,5.59211
town7_000397.png,STOP,"[0.97155, 0.02845]",GO,"[0.44694, 0.55306]",True,74.0,57.81%,0.79866,159.08964,26.11438,0.99416,0.31167,5.93718
town7_000403.png,STOP,"[0.96874, 0.03126]",GO,"[0.42826, 0.57174]",True,60.0,46.88%,0.80847,139.23901,26.69319,0.99501,0.33392,6.33706
town7_000407.png,STOP,"[0.97656, 0.02344]",GO,"[0.41188, 0.58812]",True,50.0,39.06%,0.81007,127.21214,27.08552,0.99539,0.3398,6.77005
town7_000409.png,STOP,"[0.97854, 0.02146]",GO,"[0.4898, 0.5102]",True,57.0,44.53%,0.80856,133.41807,26.87866,0.99521,0.33434,6.90881
town7_000411.png,STOP,"[0.97986, 0.02014]",GO,"[0.46512, 0.53488]",True,72.0,56.25%,0.79054,157.83549,26.14876,0.99403,0.31275,6.46447
town7_000414.png,STOP,"[0.97427, 0.02573]",GO,"[0.44298, 0.55702]",True,98.0,76.56%,0.77711,185.38016,25.45017,0.99292,0.28824,6.34879
town7_000415.png,STOP,"[0.9788, 0.0212]",GO,"[0.47645, 0.52355]",True,73.0,57.03%,0.78904,176.15766,25.67179,0.99326,0.30551,5.75233
town7_000417.png,STOP,"[0.97958, 0.02042]",GO,"[0.47745, 0.52255]",True,72.0,56.25%,0.80583,146.43943,26.47422,0.99469,0.32844,5.19987
town7_000422.png,STOP,"[0.97565, 0.02435]",GO,"[0.49272, 0.50728]",True,87.0,67.97%,0.78714,168.49195,25.86501,0.99373,0.3022,5.96421
town7_000432.png,STOP,"[0.97843, 0.02157]",GO,"[0.48404, 0.51596]",True,56.0,43.75%,0.81383,124.44365,27.18108,0.99557,0.35077,5.39157
town7_000441.png,STOP,"[0.97522, 0.02478]",GO,"[0.44315, 0.55685]",True,58.0,45.31%,0.81379,124.23591,27.18833,0.99562,0.34704,4.93616
town7_000443.png,STOP,"[0.97366, 0.02634]",GO,"[0.45327, 0.54673]",True,72.0,56.25%,0.79956,150.84724,26.34543,0.9944,0.31527,6.19161
town7_000444.png,STOP,"[0.96951, 0.03049]",GO,"[0.46025, 0.53975]",True,52.0,40.62%,0.81304,120.89784,27.30662,0.99576,0.34634,6.02418
town7_000448.png,STOP,"[0.96467, 0.03533]",GO,"[0.46311, 0.53689]",True,101.0,78.91%,0.7879,171.69648,25.78319,0.99364,0.30115,6.36003
town7_000457.png,STOP,"[0.97457, 0.02543]",GO,"[0.48086, 0.51914]",True,75.0,58.59%,0.79751,157.87664,26.14762,0.99424,0.31508,8.39919
town7_000460.png,STOP,"[0.97111, 0.02889]",GO,"[0.40487, 0.59513]",True,78.0,60.94%,0.79135,165.71174,25.93727,0.99405,0.30262,6.30159
town7_000463.png,STOP,"[0.96939, 0.03061]",GO,"[0.47244, 0.52756]",True,46.0,35.94%,0.81271,132.8024,26.89874,0.99527,0.34655,6.04277
town7_000468.png,STOP,"[0.96329, 0.03671]",GO,"[0.47608, 0.52392]",True,88.0,68.75%,0.79346,162.75284,26.01552,0.99409,0.31146,5.67256
town7_000471.png,STOP,"[0.97818, 0.02182]",GO,"[0.40714, 0.59286]",True,57.0,44.53%,0.81226,131.04737,26.95652,0.99533,0.34111,5.72941
town7_000484.png,STOP,"[0.96604, 0.03396]",GO,"[0.47024, 0.52976]",True,54.0,42.19%,0.81078,132.39435,26.91211,0.99525,0.34038,4.7355
town7_000494.png,STOP,"[0.97516, 0.02484]",GO,"[0.4724, 0.5276]",True,65.0,50.78%,0.80229,139.51701,26.68453,0.995,0.32711,5.32624
town7_000496.png,STOP,"[0.95888, 0.04112]",GO,"[0.47604, 0.52396]",True,87.0,67.97%,0.78956,163.28354,26.00138,0.99397,0.30903,5.73984
town7_000498.png,STOP,"[0.97669, 0.02331]",GO,"[0.49971, 0.50029]",True,49.0,38.28%,0.81441,115.74727,27.4957,0.99601,0.34956,6.38769
town7_000499.png,STOP,"[0.96711, 0.03289]",GO,"[0.47397, 0.52603]",True,67.0,52.34%,0.80361,143.77583,26.55394,0.99488,0.32924,6.70918
town7_000500.png,STOP,"[0.96681, 0.03319]",GO,"[0.46961, 0.53039]",True,110.0,85.94%,0.76018,222.99945,24.64777,0.9906,0.28848,6.87162
town7_000503.png,STOP,"[0.9664, 0.0336]",GO,"[0.45892, 0.54108]",True,65.0,50.78%,0.80173,147.22969,26.45085,0.99459,0.32333,6.70449
town7_000505.png,STOP,"[0.96581, 0.03419]",GO,"[0.46602, 0.53398]",True,61.0,47.66%,0.8077,129.8662,26.99584,0.99536,0.34019,6.40219
town7_000507.png,STOP,"[0.9726, 0.0274]",GO,"[0.44263, 0.55737]",True,72.0,56.25%,0.80088,142.29529,26.5989,0.99487,0.32103,6.08754
town7_000508.png,STOP,"[0.96523, 0.03477]",GO,"[0.47558, 0.52442]",True,59.0,46.09%,0.80775,134.42852,26.84589,0.9952,0.33231,5.85682
town7_000511.png,STOP,"[0.97419, 0.02581]",GO,"[0.49739, 0.50261]",True,63.0,49.22%,0.80075,139.36641,26.68922,0.99494,0.32589,5.89338
town7_000518.png,STOP,"[0.9661, 0.0339]",GO,"[0.48622, 0.51378]",True,51.0,39.84%,0.81067,127.26323,27.08377,0.99556,0.34801,5.17299
town7_000519.png,STOP,"[0.97084, 0.02916]",GO,"[0.49615, 0.50385]",True,47.0,36.72%,0.81386,116.45281,27.4693,0.99596,0.34692,5.72792
town7_000524.png,STOP,"[0.96879, 0.03121]",GO,"[0.44668, 0.55332]",True,74.0,57.81%,0.80139,147.22435,26.45101,0.99486,0.32955,6.68487
town7_000530.png,STOP,"[0.97326, 0.02674]",GO,"[0.36608, 0.63392]",True,66.0,51.56%,0.80599,148.05818,26.42648,0.99475,0.3266,6.33227
town7_000535.png,STOP,"[0.94087, 0.05913]",GO,"[0.44844, 0.55156]",True,45.0,35.16%,0.83808,104.19484,27.95234,0.99604,0.36724,6.42495
town7_000537.png,GO,"[0.43913, 0.56087]",STOP,"[0.59891, 0.40109]",True,5.0,3.91%,0.78687,144.82536,26.52236,0.99567,0.3344,7.96254
town7_000538.png,GO,"[0.31524, 0.68476]",STOP,"[0.50546, 0.49454]",True,53.0,41.41%,0.75011,185.53602,25.44652,0.99439,0.29072,5.85212
town7_000548.png,GO,"[0.05151, 0.94849]",STOP,"[0.53205, 0.46795]",True,110.0,85.94%,0.55726,1650.74862,15.95399,0.92975,0.08797,6.02996
town7_000549.png,GO,"[0.13252, 0.86748]",STOP,"[0.50646, 0.49354]",True,92.0,71.88%,0.55589,1229.89693,17.23212,0.94919,0.09763,5.36086
town7_000560.png,GO,"[0.3294, 0.6706]",STOP,"[0.5397, 0.4603]",True,117.0,91.41%,0.66314,883.58469,18.66832,0.95342,0.20201,5.21553
town7_000562.png,GO,"[0.32836, 0.67164]",STOP,"[0.53073, 0.46927]",True,59.0,46.09%,0.72475,362.07953,22.54276,0.98236,0.25417,6.22867
town7_000566.png,GO,"[0.34904, 0.65096]",STOP,"[0.52685, 0.47315]",True,82.0,64.06%,0.6814,541.99214,20.79087,0.97014,0.18824,7.21912
town7_000567.png,GO,"[0.34158, 0.65842]",STOP,"[0.52796, 0.47204]",True,63.0,49.22%,0.70697,282.83495,23.61547,0.98173,0.22758,6.22358
town7_000569.png,GO,"[0.34803, 0.65197]",STOP,"[0.52135, 0.47865]",True,84.0,65.62%,0.64131,643.68107,20.0441,0.96489,0.16318,7.02611
town7_000587.png,GO,"[0.1297, 0.8703]",STOP,"[0.53072, 0.46928]",True,95.0,74.22%,0.62157,488.98096,21.23788,0.97047,0.14426,6.84642
town7_000588.png,GO,"[0.13073, 0.86927]",STOP,"[0.52646, 0.47354]",True,115.0,89.84%,0.63323,564.81516,20.61174,0.96661,0.1334,7.06692
town7_000592.png,GO,"[0.03833, 0.96167]",STOP,"[0.55906, 0.44094]",True,100.0,78.12%,0.61084,722.70583,19.54119,0.95429,0.135,7.06097
town7_000595.png,GO,"[0.32579, 0.67421]",STOP,"[0.64605, 0.35395]",True,112.0,87.50%,0.65014,642.26557,20.05366,0.93912,0.18487,6.71455
town7_000597.png,GO,"[0.32643, 0.67357]",STOP,"[0.53253, 0.46747]",True,106.0,82.81%,0.67869,618.49388,20.21745,0.94032,0.18965,6.86394
town7_000602.png,GO,"[0.3168, 0.6832]",STOP,"[0.51227, 0.48773]",True,95.0,74.22%,0.71847,331.71779,22.92312,0.97558,0.24286,6.99174
town7_000603.png,GO,"[0.29224, 0.70776]",STOP,"[0.52663, 0.47337]",True,89.0,69.53%,0.73802,242.50185,24.28365,0.98602,0.24906,6.23729
town7_000604.png,GO,"[0.30374, 0.69626]",STOP,"[0.50272, 0.49728]",True,107.0,83.59%,0.71544,348.93094,22.70341,0.97711,0.21858,6.69788
town7_000615.png,GO,"[0.33621, 0.66379]",STOP,"[0.55608, 0.44392]",True,84.0,65.62%,0.73804,393.39227,22.18255,0.96722,0.28832,6.9723
town7_000616.png,GO,"[0.32174, 0.67826]",STOP,"[0.50925, 0.49075]",True,126.0,98.44%,0.71021,470.5188,21.40503,0.96571,0.24452,6.72148
town7_000621.png,GO,"[0.28315, 0.71685]",STOP,"[0.53511, 0.46489]",True,125.0,97.66%,0.7136,399.49807,22.11566,0.97117,0.24862,6.30223
town7_000628.png,GO,"[0.32558, 0.67442]",STOP,"[0.54684, 0.45316]",True,126.0,98.44%,0.72234,386.99875,22.25371,0.96558,0.26759,5.85175
town7_000633.png,GO,"[0.30386, 0.69614]",STOP,"[0.58173, 0.41827]",True,13.0,10.16%,0.80312,93.46971,28.42409,0.99525,0.35188,6.29673
town7_000647.png,GO,"[0.22081, 0.77919]",GO,"[0.37367, 0.62633]",False,128.0,100.00%,,,,,,6.99217
town7_000655.png,GO,"[0.16377, 0.83623]",STOP,"[0.53929, 0.46071]",True,112.0,87.50%,0.6858,466.2249,21.44485,0.95906,0.17379,6.24236
town7_000659.png,GO,"[0.24528, 0.75472]",STOP,"[0.56403, 0.43597]",True,79.0,61.72%,0.58977,665.98391,19.89617,0.91072,0.1544,6.74153
town7_000661.png,GO,"[0.30899, 0.69101]",STOP,"[0.52451, 0.47549]",True,90.0,70.31%,0.68164,437.23544,21.72365,0.95184,0.21051,7.2213
town7_000664.png,GO,"[0.30058, 0.69942]",STOP,"[0.5383, 0.4617]",True,54.0,42.19%,0.77593,194.01219,25.25251,0.98321,0.29003,6.04176
town7_000668.png,GO,"[0.28624, 0.71376]",STOP,"[0.50336, 0.49664]",True,123.0,96.09%,0.71504,515.21706,21.0109,0.95062,0.22151,6.63629
town7_000671.png,GO,"[0.33063, 0.66937]",STOP,"[0.53675, 0.46325]",True,79.0,61.72%,0.74817,303.32724,23.31169,0.96047,0.26916,7.57813
town7_000688.png,GO,"[0.26525, 0.73475]",STOP,"[0.50541, 0.49459]",True,104.0,81.25%,0.79441,196.41414,25.19908,0.98674,0.30786,6.78899
town7_000691.png,STOP,"[0.86653, 0.13347]",GO,"[0.47756, 0.52244]",True,4.0,3.12%,0.83237,137.68771,26.74185,0.99516,0.37548,6.49182
town7_000692.png,STOP,"[0.87179, 0.12821]",GO,"[0.39196, 0.60804]",True,4.0,3.12%,0.82139,150.04706,26.36853,0.99481,0.36586,6.29771
town7_000695.png,STOP,"[0.67054, 0.32946]",GO,"[0.28945, 0.71055]",True,1.0,0.78%,0.81591,158.09253,26.14169,0.99476,0.37233,6.61595
town7_000702.png,STOP,"[0.74441, 0.25559]",GO,"[0.32941, 0.67059]",True,1.0,0.78%,0.81269,159.30883,26.10841,0.99454,0.37446,6.50967
town7_000704.png,STOP,"[0.72905, 0.27095]",GO,"[0.33487, 0.66513]",True,1.0,0.78%,0.81149,158.86294,26.12058,0.99475,0.37298,6.17224
town7_000728.png,GO,"[0.30819, 0.69181]",STOP,"[0.57869, 0.42131]",True,68.0,53.12%,0.81985,140.99891,26.63865,0.9943,0.33809,5.65568
town7_000736.png,GO,"[0.30241, 0.69759]",STOP,"[0.54505, 0.45495]",True,84.0,65.62%,0.78174,193.29948,25.2685,0.9922,0.30254,5.93275
town7_000740.png,GO,"[0.30398, 0.69602]",STOP,"[0.50433, 0.49567]",True,91.0,71.09%,0.79008,321.44234,23.05977,0.98216,0.31561,7.71459
town7_000743.png,GO,"[0.3196, 0.6804]",STOP,"[0.53235, 0.46765]",True,88.0,68.75%,0.77698,317.11185,23.11868,0.97944,0.29083,7.1774
town7_000751.png,GO,"[0.31633, 0.68367]",STOP,"[0.53883, 0.46117]",True,77.0,60.16%,0.81575,127.63406,27.07114,0.99487,0.33598,7.09152
town7_000770.png,STOP,"[0.97258, 0.02742]",GO,"[0.45599, 0.54401]",True,72.0,56.25%,0.78961,152.31815,26.30329,0.99433,0.30507,6.56306
town7_000774.png,STOP,"[0.96793, 0.03207]",GO,"[0.48366, 0.51634]",True,75.0,58.59%,0.77894,153.95448,26.25688,0.99427,0.29883,6.75082
town7_000780.png,STOP,"[0.96255, 0.03745]",GO,"[0.48247, 0.51753]",True,91.0,71.09%,0.76546,180.10055,25.57565,0.99318,0.27463,8.04476
town7_000784.png,STOP,"[0.96113, 0.03887]",GO,"[0.49865, 0.50135]",True,101.0,78.91%,0.7572,181.85539,25.53354,0.99327,0.27176,6.90354
town7_000792.png,STOP,"[0.96452, 0.03548]",GO,"[0.49834, 0.50166]",True,58.0,45.31%,0.78252,139.95901,26.67079,0.99501,0.30411,6.66142
town7_000796.png,STOP,"[0.97089, 0.02911]",GO,"[0.4581, 0.5419]",True,81.0,63.28%,0.77054,169.2163,25.84638,0.99379,0.28649,6.28421
town7_000798.png,STOP,"[0.96896, 0.03104]",GO,"[0.49004, 0.50996]",True,61.0,47.66%,0.78768,137.01878,26.763,0.99513,0.31081,7.11339
town7_000800.png,STOP,"[0.96975, 0.03025]",GO,"[0.49839, 0.50161]",True,56.0,43.75%,0.78352,146.25023,26.47984,0.99475,0.30373,6.88527
town7_000804.png,STOP,"[0.97069, 0.02931]",GO,"[0.48177, 0.51823]",True,101.0,78.91%,0.7564,200.52138,25.1092,0.99221,0.26967,5.85841
town7_000813.png,STOP,"[0.56974, 0.43026]",GO,"[0.45654, 0.54346]",True,38.0,29.69%,0.79543,142.67779,26.58724,0.99529,0.31988,5.33065
town7_000814.png,GO,"[0.3361, 0.6639]",STOP,"[0.58634, 0.41366]",True,10.0,7.81%,0.75609,176.89036,25.65376,0.9955,0.2943,4.65202
town7_000815.png,GO,"[0.30614, 0.69386]",STOP,"[0.58818, 0.41182]",True,54.0,42.19%,0.74322,180.24167,25.57225,0.99424,0.26899,6.079
