Image File,Prediction (Before Masking),Prediction (After Masking)
town7_007793.png,STOP,GO
town7_007794.png,STOP,GO
town7_007795.png,STOP,GO
town7_007812.png,STOP,GO
town7_007815.png,STOP,GO
town7_007820.png,STOP,GO
town7_007831.png,STOP,GO
town7_007840.png,STOP,GO
town7_007841.png,STOP,GO
town7_007844.png,STOP,GO
town7_007845.png,STOP,GO
town7_007864.png,STOP,GO
town7_007920.png,STOP,GO
town7_007924.png,STOP,GO
town7_007926.png,STOP,GO
town7_007931.png,STOP,GO
town7_007932.png,STOP,GO
town7_007940.png,STOP,GO
town7_007943.png,STOP,GO
town7_007944.png,STOP,GO
town7_007946.png,STOP,GO
town7_007947.png,STOP,GO
town7_007949.png,STOP,GO
town7_007957.png,STOP,GO
town7_007960.png,STOP,GO
town7_007964.png,STOP,GO
town7_007971.png,STOP,GO
town7_007972.png,STOP,GO
town7_007973.png,STOP,GO
town7_007977.png,STOP,GO
town7_007985.png,STOP,GO
town7_007988.png,STOP,GO
town7_007992.png,STOP,GO
town7_007998.png,STOP,GO
town7_008143.png,STOP,GO
town7_008152.png,STOP,GO
town7_008158.png,STOP,GO
town7_008161.png,STOP,GO
town7_008165.png,STOP,GO
town7_008167.png,STOP,GO
town7_008168.png,STOP,GO
town7_008172.png,STOP,GO
town7_008178.png,STOP,GO
town7_008181.png,STOP,GO
town7_008187.png,STOP,GO
town7_008195.png,STOP,GO
town7_008199.png,STOP,GO
town7_008225.png,STOP,GO
town7_008226.png,STOP,GO
town7_008227.png,STOP,GO
town7_008236.png,STOP,GO
town7_008244.png,STOP,GO
town7_008247.png,STOP,GO
town7_008256.png,STOP,GO
town7_008257.png,STOP,GO
town7_008258.png,STOP,GO
town7_008259.png,STOP,GO
town7_008261.png,STOP,GO
town7_008264.png,STOP,GO
town7_008268.png,STOP,GO
town7_008271.png,STOP,GO
town7_008559.png,STOP,GO
town7_008570.png,STOP,GO
town7_008583.png,STOP,GO
town7_008641.png,STOP,GO
town7_008648.png,STOP,GO
town7_008857.png,STOP,GO
town7_008869.png,STOP,GO
town7_008884.png,STOP,GO
town7_008892.png,STOP,GO
town7_008895.png,STOP,GO
town7_008900.png,STOP,GO
town7_008940.png,STOP,GO
town7_008964.png,STOP,GO
town7_008967.png,STOP,GO
town7_008988.png,STOP,GO
town7_008990.png,STOP,GO
town7_008996.png,STOP,GO
town7_009007.png,STOP,GO
town7_009009.png,STOP,GO
town7_009013.png,STOP,GO
town7_009024.png,STOP,GO
town7_009025.png,STOP,GO
town7_009026.png,STOP,GO
town7_009039.png,STOP,GO
town7_009175.png,STOP,GO
town7_009179.png,STOP,GO
town7_009183.png,STOP,GO
town7_009187.png,STOP,GO
town7_009190.png,STOP,GO
town7_009191.png,STOP,GO
town7_009202.png,STOP,GO
town7_009203.png,STOP,GO
town7_009205.png,STOP,GO
town7_009209.png,STOP,GO
town7_009211.png,STOP,GO
town7_009213.png,STOP,GO
town7_009214.png,STOP,GO
town7_009216.png,STOP,GO
town7_009222.png,STOP,GO
town7_009231.png,STOP,GO
town7_009238.png,STOP,GO
town7_009239.png,STOP,GO
town7_009244.png,STOP,GO
town7_009248.png,STOP,GO
town7_009250.png,STOP,GO
town7_009256.png,STOP,GO
town7_009259.png,STOP,GO
town7_009260.png,STOP,GO
town7_009264.png,STOP,GO
town7_009266.png,STOP,GO
town7_009271.png,STOP,GO
town7_009273.png,STOP,GO
town7_009277.png,STOP,GO
town7_009292.png,STOP,GO
town7_009293.png,STOP,GO
town7_009300.png,STOP,GO
town7_009318.png,STOP,GO
town7_009556.png,STOP,GO
town7_009562.png,STOP,GO
town7_009576.png,STOP,GO
town7_009860.png,STOP,GO
town7_010840.png,STOP,GO
town7_011064.png,STOP,GO
town7_011070.png,STOP,GO
town7_011076.png,STOP,GO
town7_011092.png,STOP,GO
town7_011109.png,STOP,GO
town7_011112.png,STOP,GO
town7_011313.png,STOP,GO
town7_011379.png,STOP,GO
town7_011381.png,STOP,GO
town7_011447.png,STOP,GO
town7_011450.png,STOP,GO
town7_011457.png,STOP,GO
